City,Cloudiness,Country,Date,Lat,Lng,Humidity,Max Temp,Wind Speed
Denpasar,75,ID,1583617408,-8.65,115.22,94,80.6,5.82
Busselton,43,AU,1583616840,-33.65,115.33,71,62.01,7.96
Mataura,100,NZ,1583616837,-46.19,168.86,98,57.99,8.01
Vardø,32,NO,1583617090,70.37,31.11,82,29.14,7.29
Namatanai,97,PG,1583617070,-3.67,152.43,76,82.99,7.61
Yangmei,56,CN,1583617408,24.1,112.56,96,63.99,2.71
Barrow,90,US,1583616868,71.29,-156.79,84,1.4,4.7
Jamestown,1,US,1583616855,42.1,-79.24,62,33.8,8.05
Upernavik,100,GL,1583616874,72.79,-56.15,92,-16.65,2.77
Rikitea,100,PF,1583616984,-23.12,-134.97,80,79.93,9.71
Ushuaia,75,AR,1583616830,-54.8,-68.3,81,48.2,38.03
East London,0,ZA,1583616857,-33.02,27.91,84,76.71,6.96
Kudahuvadhoo,6,MV,1583617410,2.67,72.89,63,83.01,5.28
Teya,100,RU,1583617410,60.38,92.63,85,-0.06,13.56
São Borja,75,BR,1583617259,-28.66,-56.0,31,87.08,4.81
Limbang,75,MY,1583617411,4.75,115.0,88,78.8,2.24
Priamurskiy,90,RU,1583617411,48.52,134.9,100,28.4,11.18
Dikson,67,RU,1583617036,73.51,80.55,71,-18.4,4.12
Khovd,100,MN,1583617411,48.01,91.64,60,1.78,6.17
Beloha,0,MG,1583617108,-25.17,45.05,75,70.0,17.43
Camaná,100,PE,1583617106,-16.62,-72.71,70,71.33,9.73
Bluff,100,NZ,1583617060,-46.6,168.33,98,57.99,8.01
Hithadhoo,11,MV,1583617072,-0.6,73.08,66,82.47,5.08
Coquimbo,20,CL,1583617055,-29.95,-71.34,72,68.0,12.75
Rocha,67,UY,1583617075,-34.48,-54.33,38,80.74,13.27
Tuktoyaktuk,40,CA,1583617052,69.45,-133.04,76,-11.2,11.41
Pa Sang,0,TH,1583617413,18.53,98.94,64,72.0,2.24
Port Lincoln,67,AU,1583617104,-34.73,135.87,87,61.54,11.81
Jalu,0,LY,1583617413,29.03,21.55,24,70.41,13.22
Portland,90,US,1583617413,45.52,-122.68,70,46.99,6.93
Cape Town,75,ZA,1583616978,-33.93,18.42,93,69.01,11.41
Butaritari,100,KI,1583617052,3.07,172.79,74,84.16,8.75
Torbay,90,CA,1583616913,47.67,-52.73,92,26.01,17.22
Aloleng,57,PH,1583617089,16.13,119.78,89,71.24,2.19
Clyde River,75,CA,1583617089,70.47,-68.59,67,-25.6,10.29
Bambous Virieux,40,MU,1583616843,-20.34,57.76,94,78.8,3.36
Punta Arenas,100,CL,1583617002,-53.15,-70.92,66,53.6,40.26
Port Alfred,0,ZA,1583617041,-33.59,26.89,65,75.0,8.01
Yangi Marg`ilon,75,UZ,1583617043,40.43,71.72,69,35.6,2.24
Cockburn Town,40,TC,1583616854,21.46,-71.14,69,78.8,4.7
Avarua,100,CK,1583617050,-21.21,-159.78,94,77.0,8.05
Khatanga,5,RU,1583617043,71.97,102.5,99,-36.87,3.78
Xining,92,CN,1583617078,36.62,101.77,66,34.39,6.93
Mount Isa,2,AU,1583617086,-20.73,139.5,64,69.8,10.29
Albany,5,US,1583616957,42.6,-73.97,30,43.0,12.66
Kapaa,90,US,1583616989,22.08,-159.32,64,75.2,21.92
Pangai,40,TO,1583617417,-19.8,-174.35,66,84.2,8.05
Mount Gambier,40,AU,1583617050,-37.83,140.77,87,51.8,8.05
Camapuã,35,BR,1583617417,-19.53,-54.04,67,79.47,5.26
Yellowknife,5,CA,1583616854,62.46,-114.35,48,-5.01,8.05
Oranjemund,52,NA,1583617418,-28.55,16.43,64,70.54,5.57
Stavrovo,100,RU,1583617418,56.13,40.01,93,41.4,8.84
Ulan-Ude,20,RU,1583617418,51.83,107.61,43,15.8,11.18
Borogontsy,33,RU,1583617418,62.67,131.17,96,-3.23,6.31
Nikolskoye,20,RU,1583616865,59.7,30.79,74,35.6,4.47
Nizhniy Kuranakh,0,RU,1583617419,58.84,125.49,96,-6.03,5.39
Aykhal,96,RU,1583617419,66.0,111.5,73,-32.8,8.95
Carnarvon,0,AU,1583617087,-24.87,113.63,83,73.4,13.87
Faanui,100,PF,1583617046,-16.48,-151.75,72,83.14,4.09
Hay River,40,CA,1583617038,60.82,-115.8,54,1.4,9.17
Cidreira,58,BR,1583616911,-30.18,-50.21,77,73.02,19.22
Sept-Îles,5,CA,1583617301,50.2,-66.38,27,26.6,6.93
Hermanus,96,ZA,1583617035,-34.42,19.23,96,64.99,1.01
Bethel,1,US,1583617056,41.37,-73.41,20,46.0,14.99
Tasiilaq,100,GL,1583617041,65.61,-37.64,53,24.8,14.99
Kropotkin,100,RU,1583617130,45.44,40.58,64,55.15,3.71
Kisaran,90,ID,1583617420,2.98,99.62,97,73.83,2.28
Saint-Philippe,40,RE,1583616897,-21.36,55.77,74,78.8,10.29
Kristiansund,100,NO,1583617257,63.11,7.73,74,41.0,25.28
Richards Bay,0,ZA,1583617421,-28.78,32.04,78,76.12,19.69
Lagos,20,NG,1583617421,6.58,3.75,83,82.4,9.17
